,0.2,0.15,0.1,0.05,0.01
1,1.408197209,1.621246314,1.933044678,2.492232507,3.878356691
5,2.678145787,2.921442048,3.27021131,3.878356691,5.32808383
10,3.27021131,3.521056756,3.878356691,4.497066163,5.967063512
20,3.878356691,4.134053026,4.497066163,5.124313958,6.613981017
30,4.239200098,4.497066163,4.862954826,5.495273277,6.993794689
40,4.497066163,4.756373704,5.124313958,5.76037015,7.262221918
50,4.698075959,4.958502305,5.32808383,5.967063512,7.468891521
60,4.862954826,5.124313958,5.495273277,6.136591804,7.63620552
70,5.00281539,5.264981613,5.637125703,6.280331086,7.77624215
80,5.124313958,5.387193478,5.76037015,6.405098259,7.896272639
90,5.231755059,5.495273277,5.869357114,6.51530678,8.001018458
100,5.32808383,5.592178857,5.967063512,6.613981017,8.093719894
200,5.967063512,6.234799447,6.613981017,7.262221918,8.674686533
300,6.344769212,6.613981017,6.993794689,7.63620552,8.986928785
400,6.613981017,6.883534692,7.262221918,7.896272639,9.194858573
500,6.823075236,7.092285872,7.468891521,8.093719894,9.348283788
600,6.993794689,7.262221918,7.63620552,8.251666817,9.468615722
700,7.137832829,7.405184524,7.77624215,8.382521612,9.566905367
800,7.262221918,7.528301824,7.896272639,8.493707243,9.649554746
900,7.37152892,7.63620552,8.001018458,8.590009108,9.720582937
1000,7.468891521,7.732078348,8.093719894,8.674686533,9.782667448
2000,8.093719894,8.341386081,8.674686533,9.194858573,10
3000,8.440228797,8.674686533,8.986928785,9.468615722,10
4000,8.674686533,8.898509384,9.194858573,9.649554746,10
5000,8.849259023,9.064407709,9.348283788,9.782667448,10
6000,8.986928785,9.194858573,9.468615722,9.886958094,10
7000,9.099767379,9.301575471,9.566905367,9.972133724,10
8000,9.194858573,9.391390876,9.649554746,10,10
9000,9.276692745,9.468615722,9.720582937,10,10
10000,9.348283788,9.536132832,9.782667448,10,10
